layout,method,robots,success_mean,success_std,success_ci95,strict_success_mean,strict_success_std,strict_success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
crossing,astar,5,1.0,0.0,0.0,0.0,0.0,0.0,1.7,0.4830458915396479,0.2993949454037815,1.0,0.0,0.0,0.2181931119333161,0.14458864691931972,0.08961697182111991,36.10879873778509,3.9577557655306976,2.453042437781104,0.11683046867090092,0.013430039114146058,0.008324024482506916,1.0303374542457424,0.7643296546660467,0.4737364280231117,10
crossing,astar,10,1.0,0.0,0.0,0.0,0.0,0.0,4.5,0.8498365855987975,0.5267341728888386,1.0,0.0,0.0,0.04544738743184941,0.02706800222345435,0.01677692159237707,95.08799663067859,9.40696253078376,5.830495782383142,0.09161625744294027,0.015168225373580028,0.009401363487681173,2.85655585632642,0.9142024823663749,0.5666285690241021,10
crossing,astar,20,1.0,0.0,0.0,0.0,0.0,0.0,25.0,4.83045891539648,2.9939494540378155,1.0,0.0,0.0,0.0303883070057936,0.02884152620590009,0.017876163145191432,192.1919938803498,17.150592958153297,10.63004764616102,0.07837062792801543,0.01498667121999653,0.00928883505745955,5.790711591412626,0.9595027205155445,0.5947059475195897,10
crossing,attention,5,0.4,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,0.6,0.6992058987801011,0.4333723059397722,0.5,0.5270462766947299,0.32666666666666666,0.7057957494221182,0.32197203570884825,0.1995603352413212,36.08104773684961,7.63552939977344,4.7325501527146345,1.4295870384530418,1.1841242030253665,0.7339277847619933,1.2480081138589108,0.16217218530169325,0.10051536182132535,10
crossing,attention,10,0.8,0.42163702135578396,0.26133333333333336,0.0,0.0,0.0,3.5,0.97182531580755,0.6023435712098019,1.0,0.0,0.0,0.17828404820626442,0.13357245920747965,0.08278906793805074,95.92602809569173,12.709006754256121,7.877123995814982,0.6516535463688161,0.21836406150941093,0.13534344752498942,1.4187965972814707,0.019614158714464827,0.012156981521446814,10
crossing,attention,20,0.6,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,27.8,5.266244708835067,3.264052287162896,1.0,0.0,0.0,0.0584740786218189,0.027727976489363027,0.0171859778803414,206.83051883946237,20.391980823978745,12.639080659624993,0.6293185911903139,0.2079832878315437,0.12890937734041988,1.918486123516535,0.04903438935791937,0.030391829393123123,10
crossing,gnn,5,0.2,0.42163702135578396,0.26133333333333336,0.0,0.0,0.0,1.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.13237415392794402,0.11172977962669464,0.06925083487345039,38.62428207839723,3.9320698362224107,2.437122133856381,0.7559427620800597,0.09887601765207567,0.06128399066252435,0.7723590184468776,0.03362119047547838,0.020838629751578748,10
crossing,gnn,10,1.0,0.0,0.0,0.0,0.0,0.0,4.9,0.5676462121975466,0.3518307673994542,1.0,0.0,0.0,0.06947483644270239,0.056457038297414525,0.03499243486956818,131.2360728948547,7.802713470523583,4.836171913320196,0.3474690070371257,0.09384243501028301,0.058164143818528906,0.9809168740563715,0.012028778675314909,0.007455514264475393,10
crossing,gnn,20,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,27.5,4.8362060428489695,2.9975115605374323,1.0,0.0,0.0,0.03577973008699695,0.02785159188331409,0.017262595495295296,239.61043277397957,14.965371590585177,9.275633410377102,0.4254895207739683,0.10791361150654913,0.06688554936746893,1.471869822513933,0.035920872089368554,0.0222639871830273,10
crossing,mlp,5,0.5,0.5270462766947299,0.32666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.20238727429993258,0.14408515101764846,0.089304901828119,34.3785820096103,5.583153297565544,3.46047426545264,0.6241544553002089,0.19677961931281984,0.12196527164935618,0.4476558087238421,0.08356345370735486,0.05179316520159543,10
crossing,mlp,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,5.2,1.0327955589886446,0.6401333194473373,1.0,0.0,0.0,0.05962112668301985,0.03699751474922391,0.022931297217151293,67.96136687027145,7.289131310196743,4.5178503924367295,0.5784096874685511,0.11995414924782231,0.07434835197653485,0.649023486378913,0.006550061973244493,0.004059770471539056,10
crossing,mlp,20,1.0,0.0,0.0,0.0,0.0,0.0,28.6,6.686636756330579,4.144420399096169,1.0,0.0,0.0,0.040118891346419924,0.03761239221067714,0.023312402216129832,136.7216702331461,8.173343796404732,5.065890969264313,0.5515728474491587,0.056233340677975516,0.03485378564858955,1.116040270620336,0.01576455294111718,0.009770971143294368,10
crossing,orca,5,0.7,0.4830458915396479,0.2993949454037815,0.0,0.0,0.0,1.2,0.7888106377466155,0.4889098985384617,0.8,0.42163702135578396,0.26133333333333336,0.5210996487977855,0.2842732649609995,0.17619439505318188,49.22311750580524,18.553379434126906,11.499503711812723,0.43354213336878544,0.4970589296739251,0.30808031642263156,0.2973066688634074,0.011539756620532398,0.007152415254718392,10
crossing,orca,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,3.5,1.1785113019775793,0.7304488726499313,1.0,0.0,0.0,0.36018375171397843,0.1831022756753173,0.1134879662352334,141.2459429828188,29.85635690870531,18.50516173141688,0.26654119113763397,0.25228352590768804,0.1563669493692529,0.6391667627231205,0.004739852426618396,0.002937790970473286,10
crossing,orca,20,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,13.2,1.8737959096740262,1.1613907371959036,1.0,0.0,0.0,0.2338070965341763,0.08196605522898401,0.050803087367177764,287.21682007641544,66.9639342330102,41.50467643935842,0.1283813815114363,0.2001845177724208,0.124075649578808,1.6344006593176634,0.01392713768227525,0.008632129367098654,10
crossing,rvo,5,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.31622776601683794,0.19599999999999998,1.0,0.0,0.0,0.27522224952061564,0.16501811657405127,0.102279288298776,31.018398150492573,4.805113415596692,2.978240150508492,0.09662138221533441,0.029694720674734977,0.018404978555672285,8.714734043026949,0.05013386074915548,0.031073288821549163,10
crossing,rvo,10,1.0,0.0,0.0,0.0,0.0,0.0,4.6,0.6992058987801011,0.4333723059397722,1.0,0.0,0.0,0.11900535823432783,0.06919410060432031,0.04288694787707115,65.41639601218382,8.806048488130136,5.458045400041198,0.0491522164565282,0.0126229901234967,0.007823810335723701,26.995380715495116,0.19102254795953522,0.11839700185617268,10
crossing,rvo,20,1.0,0.0,0.0,0.0,0.0,0.0,23.1,3.212821536005731,1.991327418806081,1.0,0.0,0.0,0.058650580245020976,0.019805341361232652,0.012275477753572423,129.74079197183295,17.07654752591094,10.584153811782386,0.03366914369732229,0.007786372560857962,0.00482604371257804,91.86243569199574,0.20962212352978588,0.12992513822979845,10
crossing,transformer,5,0.8,0.4216370213557839,0.2613333333333333,0.3,0.4830458915396479,0.2993949454037815,1.0,0.816496580927726,0.5060698239044358,0.7,0.4830458915396479,0.2993949454037815,0.5431248652398827,0.6117865674016487,0.37918924299752466,44.11744450990672,6.446021642809238,3.9952856066514357,0.5560068556494453,0.1258204380432559,0.0779843154416904,1.2654579582158474,0.032762341687371944,0.020306309757704782,10
crossing,transformer,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,4.2,1.9321835661585918,1.1975797816151261,1.0,0.0,0.0,0.11259198337122849,0.10877173863266539,0.06741742207060732,115.59860379302522,12.858355125676006,7.969691075445613,0.46969524757819175,0.11301818652364767,0.0700493977415489,1.4850272094675652,0.011783570523258843,0.007303532677253131,10
crossing,transformer,20,0.6,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,29.9,4.067486256208427,2.5210541005257654,1.0,0.0,0.0,0.04933841116808767,0.027956639330595764,0.01732770457767142,234.28518460215145,24.65210907542889,15.279535505831534,0.568091205654646,0.2691271208884065,0.16680671769764516,1.9738342572236434,0.03441419303786253,0.021330137831925552,10
narrow,astar,5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1547005383792515,0.715690808473417,1.0,0.0,0.0,0.31979793284844815,0.18258374811093508,0.11316657952116001,42.201598714493805,3.680998428188566,2.2815064629288218,0.1154755343886941,0.024480460106979275,0.01517314637296098,0.44078248485956434,0.2717930043603202,0.16845904939222273,10
narrow,astar,10,1.0,0.0,0.0,0.0,0.0,0.0,7.4,5.420127099780759,3.3594295812103443,1.0,0.0,0.0,0.13593900396042663,0.1455593597004023,0.09021862583616315,132.04799495204435,8.76260336892292,5.43111783617838,0.10088721779034356,0.017026716755536374,0.01055326838032127,0.905813731951412,0.41308541717499986,0.25603299414887215,10
narrow,astar,20,1.0,0.0,0.0,0.0,0.0,0.0,44.6,21.06181378704123,13.054247431391824,1.0,0.0,0.0,0.03323409216385392,0.029652991223957523,0.018379114374119217,245.27999184105028,15.45618027287356,9.57983978333488,0.08434885164274754,0.01280095559008372,0.007934114474700538,2.029227392219322,0.4283449694704578,0.26549096264917926,10
narrow,attention,5,0.4,0.5163977794943223,0.32006665972366866,0.1,0.31622776601683794,0.19599999999999998,0.8,0.7888106377466155,0.4889098985384617,0.6,0.5163977794943222,0.32006665972366855,0.5439442029534338,0.3277802228097226,0.2031602869030951,39.39796357241226,7.611123383679631,4.717423147219072,0.7398589090932501,0.27534018465888954,0.17065761451911476,1.0696596869577963,0.03846440171876072,0.023840483180327925,10
narrow,attention,10,0.4,0.5163977794943222,0.32006665972366855,0.0,0.0,0.0,4.5,1.0801234497346435,0.6694674500426937,1.0,0.0,0.0,0.1163117136699761,0.07432238338465283,0.0460654904750404,88.63598039962562,12.28885805958203,7.6167131369160925,0.6929601893498321,0.12718358919043865,0.0788292052760435,1.1590989048515135,0.014735962102527205,0.009133443936550288,10
narrow,attention,20,0.7,0.48304589153964794,0.29939494540378153,0.0,0.0,0.0,31.1,8.1574778237176,5.056057137511182,1.0,0.0,0.0,0.027732078690941492,0.017117662091484853,0.01060963688353788,175.87738738370967,25.38910949593579,15.736333099031054,0.70843490185115,0.2964066509612929,0.18371474560940365,1.3933559699216858,0.033160923590913084,0.020553353380970623,10
narrow,gnn,5,0.5,0.5270462766947299,0.32666666666666666,0.0,0.0,0.0,1.2,0.7888106377466155,0.4889098985384617,0.8,0.42163702135578396,0.26133333333333336,0.42599128491116717,0.40235177881613227,0.24938021616913575,44.321514422615124,5.1397627626930795,3.1856579647538084,0.7024477305347784,0.27946959878242567,0.17321705190947342,0.6326091856074829,0.024283217881479087,0.015050894375026115,10
narrow,gnn,10,1.0,0.0,0.0,0.0,0.0,0.0,4.2,1.0327955589886446,0.6401333194473373,1.0,0.0,0.0,0.19635226697341907,0.10473526663900906,0.0649155908091661,146.198786132995,29.062225414461107,18.0129539318539,0.3405331780971404,0.09031455490122513,0.05597754107303018,0.7300116637876879,0.010180993358040225,0.006310245059472837,10
narrow,gnn,20,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,26.5,8.181958472422385,5.0712304007782745,1.0,0.0,0.0,0.054870925571638286,0.03765293167040868,0.023337528833591244,283.38343194578863,58.742041513119815,36.40869453556598,0.37283455963385775,0.1829668392521453,0.11340402187046088,0.9416134275185566,0.01116118601858781,0.006917774764682522,10
narrow,mlp,5,0.7,0.48304589153964794,0.29939494540378153,0.1,0.31622776601683794,0.19599999999999998,1.7,0.6749485577105528,0.4183374501789461,0.9,0.31622776601683794,0.19599999999999998,0.22538344359466697,0.30555595951146314,0.18938554580010505,35.427534550170925,8.224901250306385,5.097846610263231,0.6035697714021852,0.0876286561586644,0.05431280378517966,0.2930006347984696,0.005558124971754464,0.003444961548398216,10
narrow,mlp,10,0.6,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,4.3,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.1176335355870464,0.06725572158762354,0.041685528115429034,65.75578614001189,7.51674720198998,4.658928183781272,0.6335239277689599,0.05992180899342498,0.03713992199560976,0.3932044641502822,0.006060705737340855,0.003756464334177273,10
