method,safety,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
gnn,0,5,10,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156,1.126133685465902
gnn,1,5,10,0,0,0,0,0.8987174036328788,36.45784530899166,240,0.7671807950305286,0.7568804100931933
gnn,0,5,11,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802,0.7572085227972517
gnn,1,5,11,0,0,0,0,0.9452360952013112,40.26509947409968,240,0.8311068668620576,0.7509366531545917
gnn,0,5,12,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252,0.7497895198563734
gnn,1,5,12,0,0,0,0,0.9645235207014353,40.48766103997432,240,0.8114385363848635,0.7459704589564353
gnn,0,5,13,0,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811,0.7475082898357263
gnn,1,5,13,1,0,0,0,0.9217329467329262,42.990896876041084,240,0.621500138755423,0.7696662175779542
gnn,0,5,14,0,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337,0.8176758730163177
gnn,1,5,14,0,0,0,0,0.9149757352810983,36.980117496020874,240,0.7759828238351952,0.7580659332840393
gnn,0,5,15,0,7,1,1,0.19266690506451892,42.03188198494142,240,0.7445685095617016,0.7709516386967152
gnn,1,5,15,0,0,0,0,0.9729742122929378,42.70556896140488,240,0.729704175133531,0.7548231980763376
gnn,0,5,16,1,21,2,1,0.05268537332101382,30.18960201201857,240,0.6069692241424527,0.7509668066632003
gnn,1,5,16,1,0,0,0,0.9419862242692515,32.431039689957366,240,0.5921792862847948,0.7557318817513684
gnn,0,5,17,0,20,2,1,0.03690585141702652,40.28415818833862,240,0.8905437935916947,0.7495516096241772
gnn,1,5,17,0,0,0,0,0.897906416378995,41.23167439448517,240,0.8364208951494645,0.7483524891237417
gnn,0,5,18,1,7,1,1,0.31158113058263154,39.18698793316121,240,0.6433491104754326,0.7587969380741318
gnn,1,5,18,1,0,0,0,1.0141826017008757,39.41657599094126,240,0.6443456036581197,0.7507604352819423
gnn,0,5,19,0,8,1,1,0.3276341314265508,36.59171242245946,240,0.7665289957194797,0.7505003285283843
gnn,1,5,19,0,0,0,0,0.9279975204767223,36.99840670132351,240,0.7720393290721494,0.8000402885954827
gnn,0,10,10,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568,0.9908194692494968
gnn,1,10,10,1,0,0,0,0.8326061303809185,106.99095266973319,240,0.3068370102776802,0.9786082819725076
gnn,0,10,11,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734,0.9738198694928238
gnn,1,10,11,1,0,0,0,0.9124213857793245,135.53437094203468,240,0.368012281000884,0.9837523510213941
gnn,0,10,12,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166,0.9983421749590585
