layout,method,robots,success_mean,success_std,success_ci95,strict_success_mean,strict_success_std,strict_success_ci95,physical_collision_events_mean,physical_collision_events_std,physical_collision_events_ci95,physical_collision_episode_mean,physical_collision_episode_std,physical_collision_episode_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
crossing,attention,5,0.4,0.5163977794943223,0.32006665972366866,0.1,0.31622776601683794,0.19599999999999998,0.3,0.4830458915396479,0.2993949454037815,0.3,0.4830458915396479,0.2993949454037815,0.6,0.6992058987801011,0.4333723059397722,0.5,0.5270462766947299,0.32666666666666666,0.7057957494221182,0.32197203570884825,0.1995603352413212,36.08104773684961,7.63552939977344,4.7325501527146345,1.4295870384530418,1.1841242030253665,0.7339277847619933,1.23353692877572,0.17135577775789174,0.1062074113971335,10
crossing,attention,10,0.8,0.42163702135578396,0.26133333333333336,0.0,0.0,0.0,2.9,1.1005049346146119,0.6821000252488226,1.0,0.0,0.0,3.5,0.97182531580755,0.6023435712098019,1.0,0.0,0.0,0.17828404820626442,0.13357245920747965,0.08278906793805074,95.92602809569173,12.709006754256121,7.877123995814982,0.6516535463688161,0.21836406150941093,0.13534344752498942,1.4145522161076465,0.01124394925724478,0.006969071951457394,10
crossing,attention,20,0.6,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,20.1,4.383048152953731,2.7166413904754605,1.0,0.0,0.0,27.8,5.266244708835067,3.264052287162896,1.0,0.0,0.0,0.0584740786218189,0.027727976489363027,0.0171859778803414,206.83051883946237,20.391980823978745,12.639080659624993,0.6293185911903139,0.2079832878315437,0.12890937734041988,1.8947389248448114,0.010524643017306398,0.006523241324995529,10
crossing,gnn,5,0.2,0.42163702135578396,0.26133333333333336,0.0,0.0,0.0,1.6,0.5163977794943223,0.32006665972366866,1.0,0.0,0.0,1.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.13237415392794402,0.11172977962669464,0.06925083487345039,38.62428207839723,3.9320698362224107,2.437122133856381,0.7559427620800597,0.09887601765207567,0.06128399066252435,0.7667741695574175,0.03729310823811591,0.023114507959688512,10
crossing,gnn,10,1.0,0.0,0.0,0.0,0.0,0.0,4.3,0.8232726023485646,0.510269645492568,1.0,0.0,0.0,4.9,0.5676462121975466,0.3518307673994542,1.0,0.0,0.0,0.06947483644270239,0.056457038297414525,0.03499243486956818,131.2360728948547,7.802713470523583,4.836171913320196,0.3474690070371257,0.09384243501028301,0.058164143818528906,0.9756887036686143,0.010032592035008968,0.006218264966514847,10
crossing,gnn,20,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,18.0,3.1269438398822866,1.9380998712943334,1.0,0.0,0.0,27.5,4.8362060428489695,2.9975115605374323,1.0,0.0,0.0,0.03577973008699695,0.02785159188331409,0.017262595495295296,239.61043277397957,14.965371590585177,9.275633410377102,0.4254895207739683,0.10791361150654913,0.06688554936746893,1.4489014006297416,0.015213962948733246,0.00942971193046008,10
crossing,mlp,5,0.5,0.5270462766947299,0.32666666666666666,0.0,0.0,0.0,1.8,0.42163702135578396,0.26133333333333336,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.20238727429993258,0.14408515101764846,0.089304901828119,34.3785820096103,5.583153297565544,3.46047426545264,0.6241544553002089,0.19677961931281984,0.12196527164935618,0.442494005158854,0.08382070299515436,0.051952609962072335,10
crossing,mlp,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,4.5,0.5270462766947299,0.32666666666666666,1.0,0.0,0.0,5.2,1.0327955589886446,0.6401333194473373,1.0,0.0,0.0,0.05962112668301985,0.03699751474922391,0.022931297217151293,67.96136687027145,7.289131310196743,4.5178503924367295,0.5784096874685511,0.11995414924782231,0.07434835197653485,0.6456428838040058,0.009760308265938628,0.0060495017380039606,10
crossing,mlp,20,1.0,0.0,0.0,0.0,0.0,0.0,23.1,6.690789689316701,4.146994413628582,1.0,0.0,0.0,28.6,6.686636756330579,4.144420399096169,1.0,0.0,0.0,0.040118891346419924,0.03761239221067714,0.023312402216129832,136.7216702331461,8.173343796404732,5.065890969264313,0.5515728474491587,0.056233340677975516,0.03485378564858955,1.101742356355923,0.012236985267649882,0.007584562047380964,10
crossing,transformer,5,0.8,0.4216370213557839,0.2613333333333333,0.3,0.4830458915396479,0.2993949454037815,0.8,0.7888106377466155,0.4889098985384617,0.6,0.5163977794943223,0.32006665972366866,1.0,0.816496580927726,0.5060698239044358,0.7,0.4830458915396479,0.2993949454037815,0.5431248652398827,0.6117865674016487,0.37918924299752466,44.11744450990672,6.446021642809238,3.9952856066514357,0.5560068556494453,0.1258204380432559,0.0779843154416904,1.2473003597309191,0.021084731545886585,0.01306845200548811,10
crossing,transformer,10,0.9,0.31622776601683794,0.19599999999999998,0.0,0.0,0.0,3.9,1.5238839267549948,0.9445130432603294,1.0,0.0,0.0,4.2,1.9321835661585918,1.1975797816151261,1.0,0.0,0.0,0.11259198337122849,0.10877173863266539,0.06741742207060732,115.59860379302522,12.858355125676006,7.969691075445613,0.46969524757819175,0.11301818652364767,0.0700493977415489,1.472820464987308,0.013706352761435113,0.008495285455415192,10
crossing,transformer,20,0.6,0.5163977794943223,0.32006665972366866,0.0,0.0,0.0,22.4,3.470510689285432,2.151044810732165,1.0,0.0,0.0,29.9,4.067486256208427,2.5210541005257654,1.0,0.0,0.0,0.04933841116808767,0.027956639330595764,0.01732770457767142,234.28518460215145,24.65210907542889,15.279535505831534,0.568091205654646,0.2691271208884065,0.16680671769764516,1.9704880188995353,0.019252669321365,0.011932928074338083,10
