layout,robots,scenario_seed,checkpoint,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
crossing,20,14,checkpoints_seed2,1,22,1,0.012794358784318425,239.37441434080623,0.3592746247050129,1.46624010327893
crossing,20,14,checkpoints_seed3,0,29,1,0.02554620630889682,205.23691963271028,0.6931155935903867,1.4805016030247014
crossing,20,15,checkpoints_seed1,1,27,1,0.029011090647372603,220.30956004833033,0.42566913604035717,1.4981338191622247
crossing,20,15,checkpoints_seed2,1,32,1,0.02424677938566523,280.68157565625637,0.3250854977740617,1.5139588465293248
crossing,20,15,checkpoints_seed3,1,23,1,0.02778472449068904,281.0420148323664,0.3701939496450644,1.4768865347529452
crossing,20,16,checkpoints_seed1,1,27,1,0.03222294242768124,247.15736186979854,0.34350141064049544,1.4670422455916803
crossing,20,16,checkpoints_seed2,1,27,1,0.03768180240157923,289.3720139928904,0.3257866186801527,1.4729455792500328
crossing,20,16,checkpoints_seed3,1,24,1,0.012532503030692,283.23469298316144,0.26024451216965516,1.5100253804121166
crossing,20,17,checkpoints_seed1,1,32,1,0.08890038105140384,177.7608613494914,0.3859748692869887,1.5205792888688545
crossing,20,17,checkpoints_seed2,1,24,1,0.033946249473581214,248.01091467652347,0.32857054069170755,1.486841591152673
crossing,20,17,checkpoints_seed3,1,30,1,0.056226743176383355,209.89152071663216,0.3492833006052309,1.4808733268485714
crossing,20,18,checkpoints_seed1,1,25,1,0.028309212103190092,197.79722875049995,0.38332691532112534,1.4567987624711047
crossing,20,18,checkpoints_seed2,1,22,1,0.06759493944503049,244.37128156435693,0.35765165171751934,1.4606948107636224
crossing,20,18,checkpoints_seed3,1,31,1,0.06578333822939346,235.513674241326,0.2871115666532342,1.5787942820073415
crossing,20,19,checkpoints_seed1,1,26,1,0.04222483417757365,205.13289194038015,0.39838637997994536,1.4711543937058498
crossing,20,19,checkpoints_seed2,1,24,1,0.08263179658728109,250.4890828288646,0.30618824137841666,1.4816234703175724
crossing,20,19,checkpoints_seed3,1,18,1,0.02642550187798826,246.9672544579635,0.2550292608948748,1.4918959796583902
open,5,10,checkpoints_seed1,0,1,1,0.5038432213188766,87.23733338340874,0.9490093084929289,0.5449767728957037
open,5,10,checkpoints_seed2,1,2,1,0.18944409597073605,52.82707255575215,0.2789852879367374,0.5500674716705549
open,5,10,checkpoints_seed3,0,1,1,0.48955113226375263,78.70939469561122,1.4010939127725037,0.5472257791552693
open,5,11,checkpoints_seed1,0,2,1,0.5499067150129627,74.31964880000817,0.9503301161037143,0.5628417381861558
open,5,11,checkpoints_seed2,1,2,1,0.16432459389368076,50.25760605373056,0.2220072341303115,0.5322732445266511
