layout,method,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,mlp,20,16,1,0,15,1,510,42,1,0.03560417336690514,119.83530262615129,240,0.5720128493089784,1.0907662741374224
crossing,gnn,20,16,1,0,12,1,256,26,1,0.049920740445050384,273.70502574498056,240,0.32944501702740514,1.4797495658664654
crossing,attention,20,16,1,0,16,1,381,22,1,0.007536044956414945,236.12666718095014,240,0.3834974098483407,1.8907371908426285
crossing,transformer,20,16,1,0,20,1,519,24,1,0.04823505728021774,246.81953862884026,240,0.32125778246474046,1.9948915850060682
crossing,mlp,20,17,1,0,18,1,887,35,1,0.0255385181498409,136.67914799308588,240,0.4962081447509809,1.130961093197887
crossing,gnn,20,17,1,0,22,1,593,22,1,0.021904716822676765,226.7856560870858,240,0.47022691681014467,1.4638911098397027
crossing,attention,20,17,0,0,20,1,722,26,1,0.09370749858459142,186.63383302745578,240,0.872406631586057,1.8863778056887288
crossing,transformer,20,17,0,0,26,1,478,33,1,0.05113280937983582,215.32035036974983,240,0.6512995494255346,1.9515718857292086
crossing,mlp,20,18,1,0,34,1,1075,25,1,0.013417600505853363,138.64219801801747,240,0.51621899846643,1.094587502302602
crossing,gnn,20,18,1,0,18,1,565,33,1,0.014726830250250225,229.86600204721387,240,0.3822941124693649,1.434778980910778
crossing,attention,20,18,1,0,17,1,546,24,1,0.05787626029007984,202.6736624293751,240,0.5325898463353145,1.8856650490003328
crossing,transformer,20,18,1,0,21,1,510,28,1,0.03166224832115094,236.79481109662285,240,0.39846233378085155,1.9624367821961641
crossing,mlp,20,19,1,0,27,1,1024,28,1,0.010767397544030128,134.16904571334967,240,0.5063879130688413,1.100483164191246
crossing,gnn,20,19,1,0,18,1,533,27,1,0.027825253429061714,236.6464069757358,240,0.3800852695784965,1.445598005860423
crossing,attention,20,19,1,0,17,1,358,25,1,0.06984505455267496,207.51739634714568,240,0.48710097569910304,1.907779072644189
crossing,transformer,20,19,1,0,20,1,336,29,1,0.06466315603231552,260.01375434159576,240,0.3485121786721893,1.9737868783219408
open,mlp,5,10,1,0,1,1,15,1,1,0.4148777874307703,27.83482095809318,240,0.22192731095996598,0.18057896328779557
open,gnn,5,10,1,0,2,1,16,2,1,0.1678548747304627,41.0056051286618,240,0.5939792492546492,0.5164453371738394
open,attention,5,10,0,0,1,1,8,2,1,0.10237068289700657,32.46437049797559,240,0.7132608762272673,0.9605043703534951
open,transformer,5,10,0,0,2,1,11,2,1,0.13614433413290367,103.5125823843344,240,0.7222660933851283,1.013254492621248
open,mlp,5,11,1,0,2,1,28,2,1,0.0428072004992894,24.237632486221464,219,0.23601017320526108,0.1775198360930567
open,gnn,5,11,1,0,2,1,13,2,1,0.0938977601911705,27.874467178970143,240,0.5764254510262231,0.5172238006101301
open,attention,5,11,0,0,0,0,0,0,0,1.6102634615716893,31.384341313214982,240,0.7406061327038971,0.9257142703669766
open,transformer,5,11,0,0,2,1,15,2,1,0.23959380998895463,99.58892068612079,240,0.7659053239459872,1.0348346297784399
open,mlp,5,12,1,0,1,1,17,1,1,0.34289920991142897,28.899004540071683,240,0.25659127437133666,0.2165161344843606
open,gnn,5,12,1,0,2,1,13,2,1,0.3953969448493599,37.69597515094473,240,0.5851699880335468,0.5394553726849457
open,attention,5,12,0,0,0,0,0,0,0,0.9209202088075208,35.889431531531194,240,0.7203737673908529,0.962167417552943
open,transformer,5,12,0,0,1,1,9,2,1,0.46440273648456226,93.39151757208957,240,1.013970950150767,1.0269810154568404
open,mlp,5,13,1,0,2,1,28,2,1,0.07730361538436048,31.191371417170465,240,0.2835248137185001,0.17912798988011977
open,gnn,5,13,1,0,2,1,17,2,1,0.060569185004969835,43.16868673233968,240,0.5987545308579477,0.518063607160002
open,attention,5,13,0,0,1,1,8,2,1,0.5399183604040139,37.11406198844046,240,0.6983181849316373,0.9296525677200407
open,transformer,5,13,0,0,2,1,12,2,1,0.2720222458989571,95.48080237298659,240,1.0198943172428032,0.9998575027566403
open,mlp,5,14,1,0,2,1,29,2,1,0.041791865703796054,29.696040011865676,240,0.27294807427687673,0.1781325088813901
open,gnn,5,14,1,0,2,1,17,2,1,0.1530950556008241,42.19134515944531,240,0.597467797533956,0.504287836762766
open,attention,5,14,0,0,0,0,0,0,0,1.0537988987843971,36.175132683124225,240,0.7162169095091342,0.9584670071490109
open,transformer,5,14,0,0,2,1,12,2,1,0.320430040428829,95.38702028951184,240,1.0080095591650038,1.017692145736267
open,mlp,5,15,1,0,1,1,21,2,1,0.2661709379139485,26.0216819165939,240,0.2243568501201627,0.19581718952395022
open,gnn,5,15,1,0,2,1,12,2,1,0.1989926023016221,33.11069699677836,240,0.5792828756717737,0.5075071783115467
open,attention,5,15,0,0,0,0,0,0,0,1.0066637831112784,30.141847664987786,240,0.7580041734744657,0.9565814611657212
open,transformer,5,15,0,0,0,0,0,0,0,1.287387861794836,97.40682570424443,240,0.8172537362111191,1.0291948604087036
open,mlp,5,16,1,0,1,1,21,2,1,0.18241605701855065,22.706390460220994,199,0.263313109051177,0.180879233395634
open,gnn,5,16,1,0,2,1,14,2,1,0.07436650662533599,31.27484576974925,240,0.5827128835332156,0.5168145037411401
