radius,robots,seed,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms,average_degree
2.0,20,14,1,31,1,0.015266612031982032,226.32736459640066,0.41704757293572703,1.487464700282241,2.6078837926951683
2.0,20,15,1,20,1,0.021088255695782588,252.05490864073712,0.3403726396968608,1.459147499796624,2.4228215667716695
2.0,20,16,1,20,1,0.05740323772428583,280.0790175518019,0.30898579005888294,1.449326592652748,2.339419073583674
2.0,20,17,1,38,1,0.06788734893385587,215.95225336735095,0.39060034630459384,1.4858910154240828,2.5008298623611322
2.0,20,18,1,29,1,0.1108542313850875,230.70763077315416,0.30372340325177627,1.4414273978521426,2.6020746755402118
2.0,20,19,1,34,1,0.028386295384801592,239.41853213259796,0.44854276476145205,1.4447998216686149,2.4966804832838383
3.4,5,10,0,2,1,0.1521809834064545,35.66236903874571,0.7812819594143156,0.7512194783582041,0.24730290973334887
3.4,5,11,0,2,1,0.09217286294171946,39.38237813414256,0.8529821778358802,0.7518027424036214,0.16265560408350838
3.4,5,12,0,2,1,0.016781803554344183,42.90138132231158,0.7465902544202252,0.7594788369412223,0.24730291109362085
3.4,5,13,0,2,1,0.07078895159816628,42.98370371664064,0.6526175341347811,0.7473357739703109,0.3302904638264684
3.4,5,14,0,2,1,0.07034354596701474,37.02864603121259,0.8739960615046337,0.7510523408806572,0.2721991770247701
3.4,5,15,0,1,1,0.19266690506451892,42.03188198494142,0.7445685095617016,0.7440300076268613,0.28547718280083906
3.4,5,16,1,2,1,0.05268537332101382,30.18960201201857,0.6069692241424527,0.744609827719008,0.3120332033802365
3.4,5,17,0,2,1,0.03690585141702652,40.28415818833862,0.8905437935916947,0.7468671712558717,0.33195021315728973
3.4,5,18,1,1,1,0.31158113058263154,39.18698793316121,0.6433491104754326,0.7477037899661809,0.3336099649613329
3.4,5,19,0,1,1,0.3276341314265508,36.59171242245946,0.7665289957194797,0.7473300269339234,0.3585062305214989
3.4,10,10,1,6,1,0.10127916591639745,127.57047966409958,0.3059102306021568,0.971654492119948,2.3319501960920594
3.4,10,11,1,4,1,0.03449058637126876,140.84001911832306,0.34523863941595734,0.9869653285325816,2.141078817399211
3.4,10,12,1,5,1,0.06936686594392544,140.7023578091609,0.19780693077431166,1.0020095971412957,2.210788389953835
3.4,10,13,1,5,1,0.060283690169284344,126.38317652775301,0.23988151050091794,0.9866729145869613,2.367634847451048
3.4,10,14,1,5,1,0.013684642053904907,128.62668066643198,0.3229867248471908,0.9818122528182963,2.3609958347937874
3.4,10,15,1,5,1,0.09808526817662182,130.33594661525433,0.3211688458179887,0.9950013889465481,2.4016597379787332
3.4,10,16,1,5,1,0.03217050254740779,143.95826466138476,0.5093028955176444,1.0019422392360866,2.1734439678706567
3.4,10,17,1,5,1,0.03109435040880711,121.54414445077329,0.36200797627803655,1.0022604973831524,2.2954356789094286
3.4,10,18,1,4,1,0.04677619275511236,128.93599869937745,0.419896305430531,0.9927642706315964,2.3452281897493417
3.4,10,19,1,5,1,0.20751710008429422,123.46366073598848,0.4504900111865216,0.984892873869588,2.202489622401004
3.4,20,10,1,30,1,0.047847516613803515,238.40321706191472,0.3754944524366714,1.4612005790695548,5.259751070584499
3.4,20,11,1,20,1,0.003249203722015525,251.8402048586949,0.35607800729120337,1.447116199415177,5.067219934028214
3.4,20,12,0,35,1,0.05127682658273676,229.67268595724659,0.709051831259681,1.531306355415533,5.139419107516277
3.4,20,13,1,29,1,0.10020864117717504,235.26609859880858,0.45140363295201985,1.4646085522448022,5.173029035948124
3.4,20,14,1,23,1,0.023192741874202016,224.6653275247778,0.4003999816075049,1.4646092798405637,5.302489654651816
3.4,20,15,1,30,1,0.01764482995299798,249.2537028833371,0.40041598630719155,1.464953919639811,5.129460614746537
3.4,20,16,1,26,1,0.049920740445050384,273.70502574498056,0.32944501702740514,1.4982948855807383,5.02738592040984
3.4,20,17,1,22,1,0.021904716822676765,226.7856560870858,0.47022691681014467,1.4368037324553977,5.317427392817137
3.4,20,18,1,33,1,0.014726830250250225,229.86600204721387,0.3822941124693649,1.4468587508114676,5.2887966613057245
3.4,20,19,1,27,1,0.027825253429061714,236.6464069757358,0.3800852695784965,1.4492872345726937,5.3746887638361125
5.5,5,10,1,1,1,0.15427948384335452,56.60262361281287,0.3763375350015554,0.7653219761171689,1.862240699811595
5.5,5,11,1,2,1,0.1098678817076079,64.20733649844249,0.2585937815890013,0.7660765123243133,1.4456431865692139
5.5,5,12,1,2,1,0.2392619943903783,59.140963260956724,0.49063418530370945,0.7727281365077943,1.6116182903036538
5.5,5,13,0,2,1,0.49172266469327375,40.32015311198258,0.9484885776871799,0.7669424638152122,2.2639004323492404
5.5,5,14,0,1,1,0.23102079533597164,41.943276438638954,0.6909832314659712,0.7625167510317018,1.9419087394144525
5.5,5,15,1,1,1,0.2551487089106353,68.31694764596438,0.3053053616095818,0.7695726798071215,1.528630730274802
5.5,5,16,1,2,1,0.24771064845468999,64.56092969473886,0.37902955163742275,0.7564138039015234,1.4290456766904143
5.5,5,17,1,2,1,0.3052952409234289,46.49695807977059,0.40296919310849644,0.7579334836918861,2.2738589374850893
5.5,5,18,0,2,1,0.16480759669193668,52.455125899211346,0.6805593750120806,0.7649307391451051,1.9269709740436918
5.5,5,19,1,2,1,0.37362989018342097,49.17822341784677,0.5908807755399212,0.7671700926342359,1.8124481548412212
5.5,10,10,1,5,1,0.03319811195104805,98.75291772240827,0.43482551578718037,0.9852838198033472,4.318672197982978
5.5,10,11,1,4,1,0.10987085711864052,101.45955565478569,0.4119595992501888,1.004515733802691,4.301244789139364
5.5,10,12,1,5,1,0.12861772976665853,130.9182882402213,0.47056858995360057,0.9966546184538553,4.3759336145092345
5.5,10,13,1,5,1,0.14232671610475067,122.3778912810241,0.5222858281616265,0.9948573327468088,4.141078827292098
5.5,10,14,1,9,1,0.16008259816535517,105.15939814762154,0.3800070090968054,0.9851697230866799,4.937759291581593
5.5,10,15,1,4,1,0.1612275589720289,126.22395994738476,0.36123789124528927,0.9847305676278969,4.207468891539515
5.5,10,16,1,5,1,0.06081487287439247,111.56625234898272,0.6002450956753946,0.9822711911207685,4.604979229171247
5.5,10,17,1,5,1,0.04372004004399413,110.78376282577553,0.3222415988994287,1.0045522591099143,4.731950171260912
5.5,10,18,1,7,1,0.28468418695549813,126.73175903246566,0.40834867581274314,1.0295380547177047,4.321991735474203
5.5,10,19,1,4,1,0.22807633275655156,112.95548999620483,0.4754534809583819,0.9966803074348718,4.255601680130384
5.5,20,10,1,29,1,0.10232277474844327,203.0161094546305,0.4179786052368632,1.460028300061822,9.737344415356015
5.5,20,11,1,23,1,0.06914996104881681,243.18388003591153,0.34592196702706485,1.4628362977722038,9.485062254909657
5.5,20,12,1,31,1,0.05769470538028351,247.96484037307334,0.4376259456027013,1.4535560350244243,10.19377592292564
5.5,20,13,1,24,1,0.018314059102106008,233.4498624474877,0.4186242897012004,1.4595396215251337,9.353112028842151
5.5,20,14,1,34,1,0.02091895806875363,224.41813708735017,0.3538860401608491,1.470363634871319,10.030290425565727
5.5,20,15,1,23,1,0.042032273124378565,251.96301285095865,0.38579066079474644,1.4696377542956423,9.675933671690121
5.5,20,16,1,35,1,0.05426435616251841,263.97904053379665,0.2995278393092501,1.4565469018028427,9.308713677513154
5.5,20,17,1,34,1,0.010648605011170612,222.8310036087921,0.3236536532997608,1.4544145242931943,10.087966833866483
5.5,20,18,1,32,1,0.03573874935005763,218.6521847968709,0.34289721388275235,1.465283619472757,9.628630711329922
5.5,20,19,1,29,1,0.013847611464950307,217.52194182291612,0.2932096772055134,1.4563525658256065,9.381742748482099
99.0,5,10,1,1,1,0.07234009869732559,51.79818255264872,0.3020721524271369,0.7737650613610944,4.0
99.0,5,11,1,2,1,0.04407291226316007,59.029159122051325,0.46436059575700106,0.762357444424803,4.0
99.0,5,12,1,2,1,0.0585002918454063,48.04403267497664,0.5671331940039934,0.7721975426344821,4.0
99.0,5,13,1,2,1,0.05270227514665511,54.04221857309106,0.20889388162166403,0.7689914724323899,4.0
99.0,5,14,1,2,1,0.09215172346311144,47.23365921930991,0.5679207424190582,0.7619728023807207,4.0
99.0,5,15,1,2,1,0.45433396684650357,61.8529762367067,0.23515854379921527,0.7690774917136878,4.0
99.0,5,16,1,2,1,0.17457831968359303,38.732547572710374,0.23453534066352139,0.7592047969367177,4.0
99.0,5,17,1,2,1,0.07240376313458216,53.863880117634636,0.3314932285753504,0.7600042309301595,4.0
99.0,5,18,1,2,1,0.19185925396915882,62.22928134856744,0.41941935314361584,0.7651701162103564,4.0
99.0,5,19,1,2,1,0.26911627488965933,57.66931258931279,0.6173691341523345,0.7693253767987093,4.0
99.0,10,10,1,4,1,0.18272976742926103,90.2781454438046,0.492961923221458,0.9919590142089874,9.0
99.0,10,11,1,4,1,0.12359726712335688,124.0417393598675,0.48186039892556176,1.011027960339561,9.0
99.0,10,12,1,5,1,0.19095466936675184,136.01721635811262,0.5255519237673698,0.9898986240538458,9.0
99.0,10,13,1,5,1,0.23658290469663454,119.72573459103666,0.32222343763261424,0.9951290965545923,9.0
99.0,10,14,0,7,1,0.1174967491935439,102.41075675916143,0.8478551017723754,0.9900280293853333,9.0
99.0,10,15,1,4,1,0.16524044897077136,145.86404176186798,0.24217842874741766,0.992069907564049,9.0
99.0,10,16,1,5,1,0.10213062058211295,122.15149293106111,0.27115669516490976,0.9729130232396225,9.0
99.0,10,17,1,5,1,0.1045507386591825,112.48607161313386,0.4396168103684762,0.9807519731111825,9.0
99.0,10,18,1,4,1,0.17259279149096887,116.9722793733771,0.4498873501632431,0.9808565101896723,9.0
99.0,10,19,1,5,1,0.04927536458051319,111.10289226542037,0.5892485153305876,0.9763908669507751,9.0
99.0,20,10,1,29,1,0.0405969895104843,210.4469265742734,0.4273109651155294,1.4441997336689383,19.0
99.0,20,11,1,41,1,0.07023791162687228,259.37593544838484,0.3405464679566192,1.4514074641435097,19.0
99.0,20,12,1,30,1,0.0216278049628302,259.11280618478804,0.4314924207902169,1.455220766365528,19.0
99.0,20,13,1,20,1,0.02261444576029627,216.5581438572366,0.40071292643565953,1.4629598862181108,19.0
99.0,20,14,1,29,1,0.02390991589748816,226.15635329452462,0.3733724430998383,1.482898002723232,19.0
99.0,20,15,1,27,1,0.0807190291817466,266.5800790602801,0.38570943015893144,1.4717295009177178,19.0
99.0,20,16,1,33,1,0.01590441465752431,276.2650728283426,0.37239672766514553,1.4528268036277343,19.0
99.0,20,17,1,37,1,0.01406011862964383,224.46358661653943,0.3930858026024181,1.4372922383093585,19.0
99.0,20,18,1,56,1,0.0033819840595824165,228.87460698244803,0.3236492889939733,1.4468419249169528,19.0
99.0,20,19,1,35,1,0.020518606316155912,223.5512312571106,0.35943457335795426,1.4704873145092279,19.0
