layout,variant,robots,seed,success,strict_success,physical_collision_events,physical_collision_episode,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
crossing,no_edges,5,10,0,0,1,1,2,1,0.3447070591113776,35.267052659171206,0.7596123049668095,1.1749285894135635
crossing,local_graph,5,10,0,0,1,1,2,1,0.1521809834064545,35.66236903874571,0.7812819594143156,0.749422136383752
crossing,global_graph,5,10,1,0,1,1,1,1,0.07234009869732559,51.79818255264872,0.3020721524271369,0.7569812587462366
crossing,no_edges,5,11,0,0,1,1,2,1,0.2156768985999624,39.77772175788473,0.8594888278466908,0.7505487107361356
crossing,local_graph,5,11,0,0,2,1,2,1,0.09217286294171946,39.38237813414256,0.8529821778358802,0.7511304516810924
crossing,global_graph,5,11,1,0,2,1,2,1,0.04407291226316007,59.029159122051325,0.46436059575700106,0.7568239700049162
crossing,no_edges,5,12,0,0,1,1,2,1,0.06854363264980874,41.12027333787953,0.7561537899302453,0.7502446649596095
crossing,local_graph,5,12,0,0,2,1,2,1,0.016781803554344183,42.90138132231158,0.7465902544202252,0.7591672978984813
crossing,global_graph,5,12,1,0,1,1,2,1,0.0585002918454063,48.04403267497664,0.5671331940039934,0.7721718594742318
crossing,no_edges,5,13,0,0,0,0,0,0,0.985157513116258,45.38048607726148,0.8122036860012749,0.7627348066307604
crossing,local_graph,5,13,0,0,2,1,2,1,0.07078895159816628,42.98370371664064,0.6526175341347811,0.7578368822578341
crossing,global_graph,5,13,1,0,2,1,2,1,0.05270227514665511,54.04221857309106,0.20889388162166403,0.7623815229938676
crossing,no_edges,5,14,0,0,1,1,2,1,0.47691045885344574,34.34247172436482,0.9307146867446147,0.7521197587872545
crossing,local_graph,5,14,0,0,2,1,2,1,0.07034354596701474,37.02864603121259,0.8739960615046337,0.7614312945709875
crossing,global_graph,5,14,1,0,2,1,2,1,0.09215172346311144,47.23365921930991,0.5679207424190582,0.7676247468528649
crossing,no_edges,5,15,0,0,2,1,2,1,0.02575910022336589,46.900804495429156,0.7301792762974173,0.7509940109836558
crossing,local_graph,5,15,0,0,1,1,1,1,0.19266690506451892,42.03188198494142,0.7445685095617016,0.7472501505011072
crossing,global_graph,5,15,1,0,1,1,2,1,0.45433396684650357,61.8529762367067,0.23515854379921527,0.7548905598620573
crossing,no_edges,5,16,1,1,0,0,1,1,0.6370890036202946,29.172403229605457,0.5969693973093462,0.7480553603575876
crossing,local_graph,5,16,1,0,2,1,2,1,0.05268537332101382,30.18960201201857,0.6069692241424527,0.754298196018984
crossing,global_graph,5,16,1,0,2,1,2,1,0.17457831968359303,38.732547572710374,0.23453534066352139,0.7689535545761741
crossing,no_edges,5,17,0,0,0,0,1,1,0.6388405085167891,32.86757640693897,1.8176105394731235,0.7612966796538482
crossing,local_graph,5,17,0,0,2,1,2,1,0.03690585141702652,40.28415818833862,0.8905437935916947,0.7465369727772971
crossing,global_graph,5,17,1,0,2,1,2,1,0.07240376313458216,53.863880117634636,0.3314932285753504,0.7611339717792968
crossing,no_edges,5,18,0,0,0,0,1,1,0.6813135913847612,37.649624110305275,0.6806856667620698,0.7484600491200885
crossing,local_graph,5,18,1,0,1,1,1,1,0.31158113058263154,39.18698793316121,0.6433491104754326,0.7452819593405972
crossing,global_graph,5,18,1,0,2,1,2,1,0.19185925396915882,62.22928134856744,0.41941935314361584,0.7540703634731472
crossing,no_edges,5,19,0,0,0,0,1,1,0.561485292475231,35.760028493304475,0.7871324801271397,0.7489831749505053
crossing,local_graph,5,19,0,0,1,1,1,1,0.3276341314265508,36.59171242245946,0.7665289957194797,0.7438165853576114
crossing,global_graph,5,19,1,0,1,1,2,1,0.26911627488965933,57.66931258931279,0.6173691341523345,0.7663285767193884
crossing,no_edges,10,10,0,0,6,1,6,1,0.12979125730134816,71.93718478744798,0.8198128943565044,0.9926129054899017
crossing,local_graph,10,10,1,0,5,1,6,1,0.10127916591639745,127.57047966409958,0.3059102306021568,0.9948245404909054
crossing,global_graph,10,10,1,0,3,1,4,1,0.18272976742926103,90.2781454438046,0.492961923221458,0.9799221123103052
crossing,no_edges,10,11,0,0,5,1,5,1,0.06984312820420642,71.94134824662424,0.8861961916700973,0.9793981211259961
crossing,local_graph,10,11,1,0,3,1,4,1,0.03449058637126876,140.84001911832306,0.34523863941595734,0.9872910741250962
crossing,global_graph,10,11,1,0,3,1,4,1,0.12359726712335688,124.0417393598675,0.48186039892556176,1.015572725251938
crossing,no_edges,10,12,0,0,4,1,5,1,0.06786683507320347,79.89740664897589,0.8429213036605117,1.0011717909947038
crossing,local_graph,10,12,1,0,4,1,5,1,0.06936686594392544,140.7023578091609,0.19780693077431166,0.9801348050435384
crossing,global_graph,10,12,1,0,5,1,5,1,0.19095466936675184,136.01721635811262,0.5255519237673698,0.9868491673842072
crossing,no_edges,10,13,0,0,1,1,5,1,0.10921209073012848,83.12751645736108,0.7106610237873734,0.9795292882093539
crossing,local_graph,10,13,1,0,4,1,5,1,0.060283690169284344,126.38317652775301,0.23988151050091794,0.9991474857088178
crossing,global_graph,10,13,1,0,4,1,5,1,0.23658290469663454,119.72573459103666,0.32222343763261424,0.9983829998721679
crossing,no_edges,10,14,0,0,6,1,6,1,0.2734668531862812,70.87221328547815,1.1591436016323378,0.9813061178041002
crossing,local_graph,10,14,1,0,5,1,5,1,0.013684642053904907,128.62668066643198,0.3229867248471908,0.9757468903747698
crossing,global_graph,10,14,0,0,6,1,7,1,0.1174967491935439,102.41075675916143,0.8478551017723754,1.0030480547963332
crossing,no_edges,10,15,0,0,5,1,5,1,0.01799049893551556,80.75352571370922,0.6983121048427201,0.9851754274374495
crossing,local_graph,10,15,1,0,5,1,5,1,0.09808526817662182,130.33594661525433,0.3211688458179887,0.9757913319238772
crossing,global_graph,10,15,1,0,4,1,4,1,0.16524044897077136,145.86404176186798,0.24217842874741766,0.9911244676914066
crossing,no_edges,10,16,0,0,4,1,5,1,0.10587831344466482,63.22443535219799,1.1417553673659435,0.9864422861331453
crossing,local_graph,10,16,1,0,5,1,5,1,0.03217050254740779,143.95826466138476,0.5093028955176444,0.970171574347963
crossing,global_graph,10,16,1,0,5,1,5,1,0.10213062058211295,122.15149293106111,0.27115669516490976,0.9994653034179161
crossing,no_edges,10,17,0,0,4,1,6,1,0.2651096360359234,73.68728811936813,0.787820751147323,0.9841343426766495
crossing,local_graph,10,17,1,0,5,1,5,1,0.03109435040880711,121.54414445077329,0.36200797627803655,0.982778761923934
crossing,global_graph,10,17,1,0,4,1,5,1,0.1045507386591825,112.48607161313386,0.4396168103684762,0.9807107601470003
crossing,no_edges,10,18,0,0,3,1,6,1,0.18381097154842335,82.4121468605624,0.7016581221346991,0.9792493695082763
crossing,local_graph,10,18,1,0,3,1,4,1,0.04677619275511236,128.93599869937745,0.419896305430531,0.9794680459890515
crossing,global_graph,10,18,1,0,4,1,4,1,0.17259279149096887,116.9722793733771,0.4498873501632431,0.9815400136479487
crossing,no_edges,10,19,0,0,3,1,4,1,0.276302557495665,73.55321740529065,0.7731992077999945,0.9934812357338766
crossing,local_graph,10,19,1,0,4,1,5,1,0.20751710008429422,123.46366073598848,0.4504900111865216,0.9855768934357911
crossing,global_graph,10,19,1,0,2,1,5,1,0.04927536458051319,111.10289226542037,0.5892485153305876,0.987766869366169
crossing,no_edges,20,10,0,0,25,1,31,1,0.0465608719645484,145.76406902914113,0.7827274234704391,1.451451643758143
crossing,local_graph,20,10,1,0,18,1,30,1,0.047847516613803515,238.40321706191472,0.3754944524366714,1.439345721155405
crossing,global_graph,20,10,1,0,22,1,29,1,0.0405969895104843,210.4469265742734,0.4273109651155294,1.4507464754084747
crossing,no_edges,20,11,0,0,17,1,21,1,0.012593523155193366,155.02476665505654,0.7685599487059727,1.4492995357917
crossing,local_graph,20,11,1,0,15,1,20,1,0.003249203722015525,251.8402048586949,0.35607800729120337,1.4934273650093626
crossing,global_graph,20,11,1,0,29,1,41,1,0.07023791162687228,259.37593544838484,0.3405464679566192,1.473993924446404
crossing,no_edges,20,12,0,0,25,1,32,1,0.06176341874539894,160.71785794316403,1.0439405276721672,1.4955395250581205
crossing,local_graph,20,12,0,0,23,1,35,1,0.05127682658273676,229.67268595724659,0.709051831259681,1.485705466863389
crossing,global_graph,20,12,1,0,27,1,30,1,0.0216278049628302,259.11280618478804,0.4314924207902169,1.4637326976905267
crossing,no_edges,20,13,0,0,31,1,29,1,0.04166960493237056,160.4899778006407,0.8486243193888994,1.4746280522861828
crossing,local_graph,20,13,1,0,19,1,29,1,0.10020864117717504,235.26609859880858,0.45140363295201985,1.4679678172493975
crossing,global_graph,20,13,1,0,18,1,20,1,0.02261444576029627,216.5581438572366,0.40071292643565953,1.4565800530059885
crossing,no_edges,20,14,0,0,25,1,36,1,0.013240372162271835,158.43133873436787,0.8298257465485914,1.4857684591940294
crossing,local_graph,20,14,1,0,18,1,23,1,0.023192741874202016,224.6653275247778,0.4003999816075049,1.459350244840607
crossing,global_graph,20,14,1,0,21,1,29,1,0.02390991589748816,226.15635329452462,0.3733724430998383,1.4866148121654987
crossing,no_edges,20,15,0,0,30,1,26,1,0.023985305119989222,157.12864177671457,0.7981636732008722,1.4484583458397537
crossing,local_graph,20,15,1,0,17,1,30,1,0.01764482995299798,249.2537028833371,0.40041598630719155,1.5536235373777647
crossing,global_graph,20,15,1,0,25,1,27,1,0.0807190291817466,266.5800790602801,0.38570943015893144,1.4683980261906981
crossing,no_edges,20,16,0,0,12,1,20,1,0.04773852235401439,135.84776715750107,0.7185748036083944,1.45964885984237
crossing,local_graph,20,16,1,0,12,1,26,1,0.049920740445050384,273.70502574498056,0.32944501702740514,1.464578517091771
crossing,global_graph,20,16,1,0,16,1,33,1,0.01590441465752431,276.2650728283426,0.37239672766514553,1.4649301844959457
crossing,no_edges,20,17,0,0,30,1,38,1,0.03327792540758419,153.2724617956307,0.7223833101257238,1.461066777119413
crossing,local_graph,20,17,1,0,22,1,22,1,0.021904716822676765,226.7856560870858,0.47022691681014467,1.4582957393334557
crossing,global_graph,20,17,1,0,18,1,37,1,0.01406011862964383,224.46358661653943,0.3930858026024181,1.4649934018962085
crossing,no_edges,20,18,0,0,23,1,31,1,0.01656277710377584,155.67416458532026,0.7394360129012117,1.4594569996309776
crossing,local_graph,20,18,1,0,18,1,33,1,0.014726830250250225,229.86600204721387,0.3822941124693649,1.4567174580103408
crossing,global_graph,20,18,1,0,17,1,56,1,0.0033819840595824165,228.87460698244803,0.3236492889939733,1.4601080872428913
crossing,no_edges,20,19,0,0,24,1,45,1,0.02589614993964299,150.30515882125664,0.7088928357403332,1.4600579859688878
crossing,local_graph,20,19,1,0,18,1,27,1,0.027825253429061714,236.6464069757358,0.3800852695784965,1.4387625366604577
crossing,global_graph,20,19,1,0,17,1,35,1,0.020518606316155912,223.5512312571106,0.35943457335795426,1.451157305079202
open,no_edges,5,10,1,0,2,1,2,1,0.15051279553679595,30.902996903550513,0.5916045142962953,0.5235828905521581
open,local_graph,5,10,1,0,2,1,2,1,0.1678548747304627,41.0056051286618,0.5939792492546492,0.5380566134893646
open,global_graph,5,10,0,0,2,1,2,1,0.15101868512997987,120.17311006071044,1.4892232657518247,0.5408082118568321
open,no_edges,5,11,1,0,2,1,2,1,0.07399624990719085,27.03656320992395,0.5752933009764958,0.5383568136797597
open,local_graph,5,11,1,0,2,1,2,1,0.0938977601911705,27.874467178970143,0.5764254510262231,0.5340975864479939
open,global_graph,5,11,0,0,2,1,2,1,0.3229748425054019,116.6299243603312,0.9384365116476359,0.5499198450706899
open,no_edges,5,12,1,0,2,1,2,1,0.3492482334364769,30.990081778514533,0.5812339334990708,0.5411503138020635
open,local_graph,5,12,1,0,2,1,2,1,0.3953969448493599,37.69597515094473,0.5851699880335468,0.525923950287203
open,global_graph,5,12,0,0,2,1,2,1,0.173687900651046,123.97801863177469,0.9507663368132709,0.5063211972204348
open,no_edges,5,13,1,0,1,1,1,1,0.3086767955518861,33.077436189170676,0.58852916341207,0.5046681636789193
open,local_graph,5,13,1,0,2,1,2,1,0.060569185004969835,43.16868673233968,0.5987545308579477,0.5187370872590691
open,global_graph,5,13,0,0,2,1,2,1,0.13579103245628343,123.40704242101918,1.1567943847116706,0.5382678859556714
open,no_edges,5,14,1,0,2,1,2,1,0.43126838068852674,31.782928446617905,0.5861842942234541,0.5373330612201244
open,local_graph,5,14,1,0,2,1,2,1,0.1530950556008241,42.19134515944531,0.597467797533956,0.5334729348154118
open,global_graph,5,14,0,0,2,1,2,1,0.18207190129285208,124.63510744604294,1.103963252297744,0.5409757393257072
open,no_edges,5,15,1,0,2,1,2,1,0.34596926967498987,27.914664743492967,0.5780681426704419,0.5370571821307143
open,local_graph,5,15,1,0,2,1,2,1,0.1989926023016221,33.11069699677836,0.5792828756717737,0.5381951108574867
open,global_graph,5,15,0,0,2,1,2,1,0.10135482743646916,119.86996053945262,0.931166345339429,0.5386573514745882
open,no_edges,5,16,1,0,1,1,2,1,0.47680506093118125,25.70559325633644,0.5790759299733191,0.5372637242544442
