layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
crossing,orca,5,10,1,3,1,1,0.7042649030379938,83.198581910471,240,0.11708993113621954
crossing,astar,5,10,1,6,1,1,0.07819731434808391,35.3919988255199,79,0.12523882769511469
crossing,mlp,5,10,1,22,2,1,0.30381730466283274,44.26703721338616,240,0.45681054948102073
crossing,gnn,5,10,0,9,2,1,0.1521809834064545,35.66236903874571,240,0.7812819594143156
crossing,orca,5,11,1,17,2,1,0.4801185479887942,30.21400119594552,93,0.1284158058756153
crossing,astar,5,11,1,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841
crossing,mlp,5,11,0,18,2,1,0.17999944926900388,27.28154118638566,240,0.8187695018659008
crossing,gnn,5,11,0,18,2,1,0.09217286294171946,39.38237813414256,240,0.8529821778358802
crossing,orca,5,12,1,11,1,1,0.49038817568903037,34.31893820906171,109,0.15803450675874645
crossing,astar,5,12,1,13,2,1,0.16500141981799016,36.73599866977638,82,0.11466536103320339
crossing,mlp,5,12,1,18,2,1,0.29818539336263084,33.040163311751044,240,0.49944284092330726
crossing,gnn,5,12,0,17,2,1,0.016781803554344183,42.90138132231158,240,0.7465902544202252
crossing,orca,5,13,0,8,1,1,0.5394978597068073,75.52585270527085,240,1.1801908503037781
crossing,astar,5,13,1,12,2,1,0.06870826541325886,40.76799842539865,91,0.12862240762085841
crossing,mlp,5,13,0,29,2,1,0.07886706833374989,34.341614427147825,240,0.678655321101177
crossing,gnn,5,13,0,21,2,1,0.07078895159816628,42.98370371664064,240,0.6526175341347811
crossing,orca,5,14,0,0,0,0,1.0361917922629575,60.80757995597638,240,1.1357521184515713
crossing,astar,5,14,1,12,2,1,0.04286790083181922,39.42399869892064,88,0.10157248889305473
crossing,mlp,5,14,0,25,2,1,0.30760456707579137,30.977075358479446,240,0.7190151642874867
crossing,gnn,5,14,0,20,2,1,0.07034354596701474,37.02864603121259,240,0.8739960615046337
crossing,orca,10,10,1,24,4,1,0.39957295353796235,169.21241960361212,240,0.12664849375971143
crossing,astar,10,10,1,36,5,1,0.010216054115451637,90.71999550289624,81,0.08389117033458879
crossing,mlp,10,10,1,102,5,1,0.01869637765511951,72.83973802654353,240,0.4808014586872593
crossing,gnn,10,10,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568
crossing,orca,10,11,1,54,4,1,0.11957424256711578,100.17437030067127,131,0.08329048624705045
crossing,astar,10,11,1,25,4,1,0.038942944387287036,88.47999764094094,79,0.08624930590780219
crossing,mlp,10,11,1,80,4,1,0.02709052657523418,58.367198607345806,240,0.649229350560639
crossing,gnn,10,11,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734
crossing,orca,10,12,1,19,3,1,0.46812784429791254,154.76269679215775,240,0.6173214827519589
crossing,astar,10,12,1,32,5,1,0.040011681453832625,104.15999658195305,93,0.11084229029266879
crossing,mlp,10,12,1,75,5,1,0.06023741650524924,76.37652228560339,240,0.6057234282070025
crossing,gnn,10,12,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166
crossing,orca,10,13,1,37,4,1,0.32293552585862095,177.31297042824514,240,0.2365030796885199
crossing,astar,10,13,1,19,3,1,0.05527623077714075,105.27999623133493,94,0.08233868017699544
crossing,mlp,10,13,1,70,5,1,0.05791323939341617,78.88093919121631,240,0.4048898221726147
crossing,gnn,10,13,1,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794
crossing,orca,10,14,0,8,1,1,0.5904084963373848,137.66235342434854,240,0.674872366961383
