layout,method,robots,seed,success,strict_success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,gnn,20,11,1,0,341,20,1,0.003249203722015525,251.8402048586949,240,0.35607800729120337,1.43788528512232
crossing,attention,20,11,1,0,564,33,1,0.05743257770517218,204.2729487002177,240,0.4671793330660335,1.8930701558322955
crossing,transformer,20,11,1,0,469,35,1,0.03336364403134124,262.64314772511784,240,0.40421288883675005,1.9603086829495926
crossing,orca,20,12,0,0,115,11,1,0.15179042056037564,315.5933814406075,240,0.6978833439677425,1.6184130179074903
crossing,rvo,20,12,1,0,167,26,1,0.06970989959674864,154.22399236347093,109,0.03850413075492028,91.81014747452845
crossing,astar,20,12,1,0,362,34,1,0.02242180705071617,219.519993188026,98,0.07966986263329887,5.624034912420475
crossing,mlp,20,12,1,0,848,29,1,0.1264162813707114,150.47294738981657,240,0.6312317127996866,1.125059771584347
crossing,gnn,20,12,0,0,471,35,1,0.05127682658273676,229.67268595724659,240,0.709051831259681,1.4791535950886707
crossing,attention,20,12,0,0,640,35,1,0.06964190680173749,191.8686762551893,240,0.9141967540038148,1.9760511311081548
crossing,transformer,20,12,0,0,493,34,1,0.11776294268718236,206.81946194662063,240,1.1577320841802228,1.9815473506848018
crossing,orca,20,13,1,0,94,10,1,0.3204431720639505,370.1785157968501,240,0.0695925708300105,1.6256208589766175
crossing,rvo,20,13,1,0,156,29,1,0.04375951767659348,144.95599143363228,106,0.02845478617839552,92.00184974590984
crossing,astar,20,13,1,0,162,20,1,0.008492144040230288,201.59999362045392,90,0.06046010470205208,6.464890090541707
crossing,mlp,20,13,1,0,782,27,1,0.08349604434660726,140.7888242520736,240,0.5256774309846084,1.1055696309388925
crossing,gnn,20,13,1,0,587,29,1,0.10020864117717504,235.26609859880858,240,0.45140363295201985,1.4910079170173656
crossing,attention,20,13,1,0,748,23,1,0.09878314856760151,207.17475519021517,240,0.5037594182443547,2.0200271159410477
crossing,transformer,20,13,0,0,582,35,1,0.05920425901530299,217.99771565221974,240,0.7997880094680135,1.9651986988416563
crossing,orca,20,14,1,0,93,13,1,0.32381740797094205,331.96941222526607,217,0.060104944752798005,1.6291583673642254
crossing,rvo,20,14,1,0,210,24,1,0.04186182747178625,145.90799244683822,100,0.02610787334780278,91.78748879116029
