layout,method,robots,success_mean,success_std,success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
crossing,astar,5,1.0,0.0,0.0,1.7,0.4830458915396479,0.2993949454037815,1.0,0.0,0.0,0.2181931119333161,0.14458864691931972,0.08961697182111991,36.10879873778509,3.9577557655306976,2.453042437781104,0.11683046867090092,0.013430039114146058,0.008324024482506916,1.0458741799294418,0.7737181217554572,0.47955546021216516,10
crossing,astar,10,1.0,0.0,0.0,4.5,0.8498365855987975,0.5267341728888386,1.0,0.0,0.0,0.04544738743184941,0.02706800222345435,0.01677692159237707,95.08799663067859,9.40696253078376,5.830495782383142,0.09161625744294027,0.015168225373580028,0.009401363487681173,2.89790646845704,0.9320749747781114,0.5777060545871942,10
crossing,astar,20,1.0,0.0,0.0,25.0,4.83045891539648,2.9939494540378155,1.0,0.0,0.0,0.0303883070057936,0.02884152620590009,0.017876163145191432,192.1919938803498,17.150592958153297,10.63004764616102,0.07837062792801543,0.01498667121999653,0.00928883505745955,5.845863635765699,0.9522671128305978,0.5902212714137792,10
crossing,gnn,5,0.2,0.42163702135578396,0.26133333333333336,1.7,0.48304589153964794,0.29939494540378153,1.0,0.0,0.0,0.13237415392794402,0.11172977962669464,0.06925083487345039,38.62428207839723,3.9320698362224107,2.437122133856381,0.7559427620800597,0.09887601765207567,0.06128399066252435,0.781030172171692,0.02891464534401325,0.01792148285652069,10
crossing,gnn,10,1.0,0.0,0.0,4.9,0.5676462121975466,0.3518307673994542,1.0,0.0,0.0,0.06947483644270239,0.056457038297414525,0.03499243486956818,131.2360728948547,7.802713470523583,4.836171913320196,0.3474690070371257,0.09384243501028301,0.058164143818528906,1.0138338837229335,0.01190561679834297,0.007379177742257371,10
crossing,gnn,20,0.9,0.31622776601683794,0.19599999999999998,27.5,4.8362060428489695,2.9975115605374323,1.0,0.0,0.0,0.03577973008699695,0.02785159188331409,0.017262595495295296,239.61043277397957,14.965371590585177,9.275633410377102,0.4254895207739683,0.10791361150654913,0.06688554936746893,1.4994599239435047,0.02019689360766443,0.012518164350221694,10
crossing,mlp,5,0.5,0.5270462766947299,0.32666666666666666,2.0,0.0,0.0,1.0,0.0,0.0,0.20238727429993258,0.14408515101764846,0.089304901828119,34.3785820096103,5.583153297565544,3.46047426545264,0.6241544553002089,0.19677961931281984,0.12196527164935618,0.4540751959818105,0.082873687261244,0.05136564352903448,10
crossing,mlp,10,0.9,0.31622776601683794,0.19599999999999998,5.2,1.0327955589886446,0.6401333194473373,1.0,0.0,0.0,0.05962112668301985,0.03699751474922391,0.022931297217151293,67.96136687027145,7.289131310196743,4.5178503924367295,0.5784096874685511,0.11995414924782231,0.07434835197653485,0.6742279937801262,0.014494602196628676,0.00898384751700757,10
crossing,mlp,20,1.0,0.0,0.0,28.6,6.686636756330579,4.144420399096169,1.0,0.0,0.0,0.040118891346419924,0.03761239221067714,0.023312402216129832,136.7216702331461,8.173343796404732,5.065890969264313,0.5515728474491587,0.056233340677975516,0.03485378564858955,1.1401188497742016,0.010196146476607253,0.006319637059664812,10
crossing,orca,5,0.7,0.4830458915396479,0.2993949454037815,1.2,0.7888106377466155,0.4889098985384617,0.8,0.42163702135578396,0.26133333333333336,0.5210996487977855,0.2842732649609995,0.17619439505318188,49.22311750580524,18.553379434126906,11.499503711812723,0.43354213336878544,0.4970589296739251,0.30808031642263156,0.29964030077724246,0.0034280336703497215,0.00212471728163418,10
