layout,method,robots,success_mean,success_std,success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,episodes
crossing,astar,5,1.0,0.0,0.0,1.6,0.5477225575051661,0.4800999895855029,1.0,0.0,0.0,0.14666138522694627,0.1375113232483002,0.1205339892519854,36.64639868555706,3.846021820320072,3.3711867634077994,0.11763268267588989,0.010554011515736558,0.009250998976324993,5
crossing,astar,10,1.0,0.0,0.0,4.4,0.8944271909999159,0.7839999999999999,1.0,0.0,0.0,0.029600210035885123,0.021846548682165217,0.01914934422741531,97.887996471611,7.783798386803632,6.822800107890079,0.08999929846522023,0.011784923751730545,0.010329941122460369,5
crossing,astar,20,1.0,0.0,0.0,24.4,6.107372593840989,5.353348111229084,1.0,0.0,0.0,0.02100994338860286,0.01999835294243672,0.017529329233990004,199.80799388923475,13.753672427550303,12.055625423400674,0.08322916406643281,0.01594591723756662,0.013977212723459571,5
crossing,gnn,5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.08045362949353979,0.048815660750745046,0.04278881323565186,39.59169564861061,3.335880047393112,2.9240277838964377,0.7814935974619671,0.08873366162667334,0.0777784837215648,5
crossing,gnn,10,1.0,0.0,0.0,5.0,0.7071067811865476,0.6198064213930023,1.0,0.0,0.0,0.055820990090956146,0.033542175476309916,0.0294010131154761,132.8245427571537,7.29770949185208,6.396724405500065,0.28236480722810686,0.06146647642838851,0.05387774209545595,5
crossing,gnn,20,0.8,0.4472135954999579,0.39199999999999996,27.4,5.941380311005179,5.207849460189877,1.0,0.0,0.0,0.04515498599398654,0.036448821506891646,0.03194880069495309,235.96950680028849,10.316627445764576,9.042922664769689,0.45848558110941606,0.1445530829723759,0.12670636379429273,5
crossing,mlp,5,0.4,0.5477225575051662,0.480099989585503,2.0,0.0,0.0,1.0,0.0,0.0,0.23369475654080168,0.10172717575048781,0.0891678010137663,33.98148629943003,6.338850220248956,5.556247196733142,0.6345386755317785,0.15236610864839353,0.13355478275073118,5
crossing,mlp,10,0.8,0.4472135954999579,0.39199999999999996,5.2,1.0954451150103321,0.9601999791710057,1.0,0.0,0.0,0.03857055267873484,0.019128461268051223,0.016766835562531068,70.91367124733017,8.098430352920342,7.098587185829579,0.5930814073951225,0.1620274835469294,0.14202335123419182,5
crossing,mlp,20,1.0,0.0,0.0,26.4,5.5497747702046425,4.864592069228415,1.0,0.0,0.0,0.05444357920664904,0.04971514931106063,0.04357724972146469,139.3183764692454,7.924785280711081,6.946380569145814,0.5599178369172995,0.06304663840372318,0.05526281513564095,5
crossing,orca,5,0.6,0.5477225575051662,0.480099989585503,1.0,0.7071067811865476,0.6198064213930023,0.8,0.4472135954999579,0.39199999999999996,0.6500922557371166,0.23379216345083137,0.20492786667245788,56.812990795345094,23.85275671374403,20.907863101376886,0.5438966425051861,0.5609904423349305,0.49172980340512346,5
crossing,orca,10,0.8,0.4472135954999579,0.39199999999999996,3.2,1.3038404810405297,1.1428665713896788,1.0,0.0,0.0,0.3801238125197992,0.17571226869343737,0.15401859429345977,147.824962109807,30.614357947762507,26.834667899813503,0.34772718188172475,0.27878235795649553,0.24436351090081412,5
crossing,orca,20,0.8,0.4472135954999579,0.39199999999999996,12.4,1.9493588689617927,1.7086883858679438,1.0,0.0,0.0,0.2570262015164979,0.07334070168756653,0.06428595944044546,325.82024249095946,50.807451395954075,44.534694713269,0.19286215615127594,0.2823688496162845,0.24750720944840757,5
random,astar,5,1.0,0.0,0.0,2.8,2.3874672772626644,2.092707337398137,1.0,0.0,0.0,0.1327716955602781,0.15018820665789195,0.1316457674862865,38.79679904209676,7.2418196590811945,6.347734807091962,0.1399030414706975,0.01911039989403275,0.016751004070182707,5
random,astar,10,1.0,0.0,0.0,22.4,25.18531318050264,22.07590034404033,1.0,0.0,0.0,0.06677486225057094,0.03189559963875626,0.02795772575834768,112.89599565962945,14.803501933995037,12.975841558749302,0.09881907531179415,0.013342052548497242,0.011694824691463143,5
random,astar,20,1.0,0.0,0.0,35.8,13.535139452550904,11.8640728251305,1.0,0.0,0.0,0.01732797941700148,0.004815969265532964,0.004221383184870325,240.5759910035394,38.62295111535528,33.85450932074961,0.08187102411319722,0.011542247019369746,0.010117225587774791,5
random,gnn,5,0.8,0.44721359549995804,0.392,2.0,0.7071067811865476,0.6198064213930023,1.0,0.0,0.0,0.1750681306960019,0.1492487339870108,0.13082228338228982,47.68552495344142,11.876330771221355,10.410062907667593,0.5113163762976279,0.2278613534028774,0.19972928245634322,5
random,gnn,10,0.6,0.5477225575051662,0.480099989585503,10.2,3.8987177379235853,3.4173767717358876,1.0,0.0,0.0,0.08058027589845261,0.07130561727163817,0.06250212929961069,107.89392383205669,15.704445160153574,13.765553115392217,0.5860861142561823,0.11039899009870249,0.09676898143114579,5
random,gnn,20,0.8,0.4472135954999579,0.39199999999999996,32.0,9.974968671630002,8.743445545092621,1.0,0.0,0.0,0.029337168453109665,0.010788688136013476,0.009456702103587279,238.92019304497495,20.08833013101852,17.60819771714655,0.48767228464119317,0.16209487747877735,0.14208242462004197,5
random,mlp,5,0.6,0.5477225575051662,0.480099989585503,2.0,0.0,0.0,1.0,0.0,0.0,0.14110730346826952,0.15083345230515224,0.13221135023303476,29.190638821149083,9.128600819822761,8.001571413252929,0.6852170862374808,0.3370092291506285,0.2954016138068387,5
random,mlp,10,0.2,0.447213595499958,0.392,9.0,1.5811388300841898,1.3859292911256331,1.0,0.0,0.0,0.06552844538100655,0.0478642000222888,0.041954821135886,71.79525126310563,12.773851096761625,11.19677415963314,0.6742100507122017,0.09946995531853395,0.08718926006995459,5
random,mlp,20,0.2,0.44721359549995804,0.392,33.2,7.049822692805827,6.179442046010303,1.0,0.0,0.0,0.01612010153812686,0.009498955556085828,0.008326201652753632,135.679370991928,13.460381639768723,11.798544713048276,0.7048732784449475,0.08156823934827517,0.07149771417118483,5
random,orca,5,0.6,0.5477225575051662,0.480099989585503,1.0,0.7071067811865476,0.6198064213930023,0.8,0.4472135954999579,0.39199999999999996,0.47785483282981983,0.23184304066531095,0.20321938522285027,52.616118476059796,3.4500643921973535,3.024114775020273,1.000103768474828,1.2247523262401636,1.07354274717301,5
random,orca,10,1.0,0.0,0.0,11.2,15.122830422906949,13.255745320426158,1.0,0.0,0.0,0.20216100150203156,0.14305596945152127,0.12539408593404808,128.53988874643719,27.971071131552126,24.517724849823946,0.18432990134799515,0.22715462032856437,0.19910980360346758,5
random,orca,20,1.0,0.0,0.0,25.0,19.761072845369505,17.32134405870399,1.0,0.0,0.0,0.20116455204950706,0.09634867254594653,0.08445333509100483,300.4924730660449,42.30861489206234,37.08513606154443,0.10261045481388675,0.05976414260316746,0.05238558070724808,5
