layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,astar,5,16,1,12,2,1,0.3060810135313153,29.119999054341957,65,0.10473311873089945,2.111170433748227
crossing,mlp,5,16,1,18,2,1,0.4617931955251237,39.41860973168666,240,0.39990191052679697,0.42387214101230103
crossing,gnn,5,16,1,21,2,1,0.05268537332101382,30.18960201201857,240,0.6069692241424527,0.7596583784713099
crossing,orca,5,17,0,0,0,0,0.8431474515322034,54.86201255496278,240,1.1439988261575413,0.29947990163539845
crossing,rvo,5,17,1,12,2,1,0.11068530500682258,35.11199864295241,88,0.07223900733693762,8.68758281417699
crossing,astar,5,17,1,11,2,1,0.08364249075266181,38.5279989162086,86,0.09657756054171887,0.36596099651137065
crossing,mlp,5,17,0,39,2,1,0.03725679006992608,29.243388316542532,240,1.027098043485203,0.4268439544830471
crossing,gnn,5,17,0,20,2,1,0.03690585141702652,40.28415818833862,240,0.8905437935916947,0.7736988889519125
crossing,orca,5,18,1,25,2,1,0.3548153753854916,40.3192746893459,114,0.14048582452588732,0.3042388952484256
crossing,rvo,5,18,1,12,2,1,0.13411482126091204,34.60799818258113,85,0.12484902659645476,8.691727895947064
crossing,astar,5,18,1,5,1,1,0.4024769601580217,38.52799819848203,86,0.13699091262759572,0.48614965296935203
crossing,mlp,5,18,1,19,2,1,0.011861181424672728,32.785557130965216,240,0.5518571499708065,0.42421217464531463
crossing,gnn,5,18,1,7,1,1,0.31158113058263154,39.18698793316121,240,0.6433491104754326,0.761910704507803
crossing,orca,5,19,1,18,2,1,0.46504411863653616,40.46381064683309,112,0.11989394944839885,0.30056314010705265
crossing,rvo,5,19,1,8,2,1,0.43173382660029314,30.743997647837354,84,0.12998412748644056,8.66551716102376
crossing,astar,5,19,1,11,2,1,0.36651691786140167,38.975998662725495,87,0.13035677854973074,0.5756416625675114
crossing,mlp,5,19,1,20,2,1,0.2349868804655133,30.831452193743957,240,0.433894269810169,0.43472684143731993
crossing,gnn,5,19,0,8,1,1,0.3276341314265508,36.59171242245946,240,0.7665289957194797,0.7877873703061292
crossing,orca,10,10,1,24,4,1,0.39957295353796235,169.21241960361212,240,0.12664849375971143,0.653342124617969
crossing,rvo,10,10,1,24,5,1,0.19236279812584373,58.88399613989571,83,0.0711747792945814,26.600267115352025
crossing,astar,10,10,1,36,5,1,0.010216054115451637,90.71999550289624,81,0.08389117033458879,3.5920389582989394
crossing,mlp,10,10,1,102,5,1,0.01869637765511951,72.83973802654353,240,0.4808014586872593,0.6630091384674112
crossing,gnn,10,10,1,65,6,1,0.10127916591639745,127.57047966409958,240,0.3059102306021568,1.001501865296935
crossing,orca,10,11,1,54,4,1,0.11957424256711578,100.17437030067127,131,0.08329048624705045,0.6607037236672322
crossing,rvo,10,11,1,34,5,1,0.06742056923978221,56.44799605931607,85,0.04125021212457672,26.824349345748914
crossing,astar,10,11,1,25,4,1,0.038942944387287036,88.47999764094094,79,0.08624930590780219,2.285015934347352
crossing,mlp,10,11,1,80,4,1,0.02709052657523418,58.367198607345806,240,0.649229350560639,0.7057023060042411
crossing,gnn,10,11,1,53,4,1,0.03449058637126876,140.84001911832306,240,0.34523863941595734,1.006333784122641
crossing,orca,10,12,1,19,3,1,0.46812784429791254,154.76269679215775,240,0.6173214827519589,0.6624578168460479
crossing,rvo,10,12,1,32,5,1,0.03331641513309335,75.87999562568093,102,0.06654241662844637,26.812969104332083
crossing,astar,10,12,1,32,5,1,0.040011681453832625,104.15999658195305,93,0.11084229029266879,2.936951991330872
crossing,mlp,10,12,1,75,5,1,0.06023741650524924,76.37652228560339,240,0.6057234282070025,0.6690929003525525
crossing,gnn,10,12,1,48,5,1,0.06936686594392544,140.7023578091609,240,0.19780693077431166,1.0176373665065814
crossing,orca,10,13,1,37,4,1,0.32293552585862095,177.31297042824514,240,0.2365030796885199,0.6716846507818749
crossing,rvo,10,13,1,22,4,1,0.2281056422854049,76.49599624051525,114,0.049057233832260835,26.729458207754714
crossing,astar,10,13,1,19,3,1,0.05527623077714075,105.27999623133493,94,0.08233868017699544,3.1568696623311396
crossing,mlp,10,13,1,70,5,1,0.05791323939341617,78.88093919121631,240,0.4048898221726147,0.6669896324941268
crossing,gnn,10,13,1,51,5,1,0.060283690169284344,126.38317652775301,240,0.23988151050091794,1.0096886777319014
crossing,orca,10,14,0,8,1,1,0.5904084963373848,137.66235342434854,240,0.674872366961383,0.6916938912278662
crossing,rvo,10,14,1,32,5,1,0.13632361871307672,72.74399629508736,99,0.05060418674212808,26.645433289384602
crossing,astar,10,14,1,31,5,1,0.003554139445713721,100.7999964009299,90,0.08667504561404626,2.0037552134858236
crossing,mlp,10,14,0,204,7,1,0.02891520326465536,68.10395812594182,240,0.824762977348097,0.6653301029776534
crossing,gnn,10,14,1,60,5,1,0.013684642053904907,128.62668066643198,240,0.3229867248471908,1.0122373253883172
crossing,orca,10,15,1,54,5,1,0.15528604731561618,111.64867745184377,145,0.08512746142458237,0.6491675780251108
crossing,rvo,10,15,1,30,5,1,0.17411765568086618,64.31599570569004,94,0.03651282564885193,26.623479259061686
crossing,astar,10,15,1,28,5,1,0.07961921625115843,97.43999698129737,87,0.07313047390510148,3.6700444841950106
crossing,mlp,10,15,1,86,4,1,0.05386478608090819,69.04828879349061,240,0.6031933266160598,0.6770227919332683
crossing,gnn,10,15,1,54,5,1,0.09808526817662182,130.33594661525433,240,0.3211688458179887,1.0136013287895669
crossing,orca,10,16,1,67,4,1,0.11627508016422218,173.65037998895914,227,0.09358471238918524,0.6467121866601416
crossing,rvo,10,16,1,24,4,1,0.1313977494924872,49.72799714715833,83,0.03857917051619217,26.58928784889629
crossing,astar,10,16,1,30,5,1,0.08861655660377352,72.79999773780467,65,0.1020273316936845,4.050347266288904
crossing,mlp,10,16,1,89,5,1,0.073992399605668,59.15340488457892,240,0.5031923078259342,0.6626505540528645
crossing,gnn,10,16,1,78,5,1,0.03217050254740779,143.95826466138476,240,0.5093028955176444,1.0008580769256998
crossing,orca,10,17,1,43,4,1,0.32922494451885836,156.4410994269414,240,0.5809543315448854,0.6606539381512752
crossing,rvo,10,17,1,33,5,1,0.07479914849229861,70.08399594467758,94,0.04552462445396601,26.82608493326351
crossing,astar,10,17,1,33,5,1,0.03879284974588699,97.4399966953302,87,0.119982335730398,2.9779353617936715
crossing,mlp,10,17,1,93,7,1,0.035571314820720026,71.923198872218,240,0.46622956517990594,0.6827113781279573
crossing,gnn,10,17,1,62,5,1,0.03109435040880711,121.54414445077329,240,0.36200797627803655,1.01615153447104
crossing,orca,10,18,1,13,2,1,0.5784397751964621,133.19023282951926,179,0.07051682570416515,0.655298126476437
crossing,rvo,10,18,1,19,3,1,0.13388349236128316,67.87199540216014,93,0.05795398407859753,26.76461433230709
crossing,astar,10,18,1,27,5,1,0.06231611746435921,97.43999700464349,87,0.0948085546234958,3.388567163940819
crossing,mlp,10,18,1,96,5,1,0.1363858812616649,65.39967876599398,240,0.6061029019704771,0.6890582561027259
crossing,gnn,10,18,1,32,4,1,0.04677619275511236,128.93599869937745,240,0.419896305430531,1.0429314628709108
crossing,orca,10,19,1,28,4,1,0.5219926073456289,98.40422958188951,136,0.09659267090489822,0.6660154356402072
crossing,rvo,10,19,1,34,5,1,0.018326492819142646,61.71199556165691,94,0.0343227312456813,26.639095557100596
crossing,astar,10,19,1,21,3,1,0.03712808407389047,96.31999552965515,86,0.07621738615062192,0.9175386485578709
crossing,mlp,10,19,1,112,5,1,0.10354412166756348,59.520741149782204,240,0.6399717361175218,0.6607128772884607
crossing,gnn,10,19,1,53,5,1,0.20751710008429422,123.46366073598848,240,0.4504900111865216,1.0173974151257426
crossing,orca,20,10,1,146,15,1,0.2732303921931682,366.5251174529309,240,0.07399068493627324,1.6565014200750738
crossing,rvo,20,10,1,138,23,1,0.05137930802048729,113.79199151315304,80,0.0497810123038621,90.93015925609507
crossing,astar,20,10,1,142,21,1,0.054963885481607515,194.879993121567,87,0.07909428018221712,6.644769668065268
crossing,mlp,20,10,1,933,25,1,0.03726734833862513,130.248832544298,240,0.5838951315354802,1.1390566593036056
crossing,gnn,20,10,1,485,30,1,0.047847516613803515,238.40321706191472,240,0.3754944524366714,1.5091720114772518
crossing,orca,20,11,1,100,13,1,0.21584961479405335,244.83478553914244,156,0.06273923626955548,1.6505711156731615
crossing,rvo,20,11,1,142,23,1,0.07121098872838405,117.06799333233909,90,0.02830455743581614,90.63918100049098
crossing,astar,20,11,1,155,20,1,0.01327117695361482,181.43999498568084,81,0.10002419808584764,5.597099023698656
crossing,mlp,20,11,1,479,18,1,0.017614389147070787,133.29535402358505,240,0.589404668306359,1.1414708686061203
